貨品分類1,貨品分類2,貨品分類3,貨品編號,品牌,貨品名稱,超市代號,價格,優惠
麵包蛋糕 / 穀類早餐 / 麵包醬,麵包,方包,P000000811,嘉頓,生命麵包 14片,WELLCOME,13.90,
麵包蛋糕 / 穀類早餐 / 麵包醬,麵包,方包,P000000811,嘉頓,生命麵包 14片,PARKNSHOP,13.90,
麵包蛋糕 / 穀類早餐 / 麵包醬,麵包,方包,P000000811,嘉頓,生命麵包 14片,JASONS,13.90,
麵包蛋糕 / 穀類早餐 / 麵包醬,麵包,方包,P000000642,嘉頓,方包 8片,WELLCOME,13.50,
麵包蛋糕 / 穀類早餐 / 麵包醬,麵包,方包,P000000642,嘉頓,方包 8片,PARKNSHOP,13.50,
麵包蛋糕 / 穀類早餐 / 麵包醬,麵包,方包,P000000642,嘉頓,方包 8片,JASONS,13.50,
麵包蛋糕 / 穀類早餐 / 麵包醬,麵包,方包,P000001338,嘉頓,厚切方包 6片,WELLCOME,13.50,
麵包蛋糕 / 穀類早餐 / 麵包醬,麵包,方包,P000001338,嘉頓,厚切方包 6片,PARKNSHOP,13.50,
麵包蛋糕 / 穀類早餐 / 麵包醬,麵包,方包,P000001338,嘉頓,厚切方包 6片,JASONS,13.50,
麵包蛋糕 / 穀類早餐 / 麵包醬,麵包,方包,P000000034,嘉頓,方麥包 8片,WELLCOME,15.50,
麵包蛋糕 / 穀類早餐 / 麵包醬,麵包,方包,P000000034,嘉頓,方麥包 8片,PARKNSHOP,15.50,
麵包蛋糕 / 穀類早餐 / 麵包醬,麵包,方包,P000000034,嘉頓,方麥包 8片,JASONS,15.50,
麵包蛋糕 / 穀類早餐 / 麵包醬,麵包,方包,P000003844,Meadows,切皮三文治方包 6片,WELLCOME,11.50,
麵包蛋糕 / 穀類早餐 / 麵包醬,麵包,方包,P000003844,Meadows,切皮三文治方包 6片,JASONS,11.50,
麵包蛋糕 / 穀類早餐 / 麵包醬,麵包,方包,P000003845,Meadows,切皮三文治方麥包 6片,WELLCOME,11.50,
麵包蛋糕 / 穀類早餐 / 麵包醬,麵包,方包,P000003845,Meadows,切皮三文治方麥包 6片,JASONS,11.50,
